11 Downing Street	7
110 proof	7
11th commandment	4
12-ounce curls	3
15 minutes of fame	9
23 skidoo	2
23 Skidoo Street	2
3-on-the-tree	3
800-pound gorilla	6
a bridge too far	8
a cold day in July	6
a day late and a dollar short	8
a dime a dozen	9
a good deal	10
a great deal	10
a hundred and ten percent	9
a little bird told me	9
a little bit of bread and no cheese	6
a little from column A, a little from column B	7
a little of something goes a long way	9
a notch above	7
a pound to a penny	3
a Roland for an Oliver	1
a short drop and a sudden stop	4
a week from next Tuesday	6
a week is a long time in politics	7
a wild goose never laid a tame egg	2
a year and a day	6
Abbot's Priory	1
abound in one's own sense	2
about time	9
about to	10
above board	8
above one's bend	3
above one's huckleberry	2
above par	7
above the curve	6
above the fray	5
above the law	9
above the salt	2
above water	8
absence makes the heart grow fonder	9
abuse of distress	2
accident of birth	6
accident waiting to happen	8
according to Cocker	2
according to Gunter	1
according to Hoyle	4
ace in the hole	7
ace up one's sleeve	7
acknowledge the corn	1
acquired taste	8
across the board	8
act of Congress	6
act one's age	9
act one's age, not one's shoe size	5
act out	8
act the hypocrite	5
act up	8
activist judge	7
activist justice	2
Adam Tiler	1
Adam's ale	2
add fuel to the fire	8
add insult to injury	9
add oil	3
add up	10
addle pate	2
adorn oneself with borrowed plumes	4
adrenaline rush	9
after all 10
after one's own heart	7
after the fact	9
after the Lord Mayor's show	3
against all odds	10
against the clock	10
against the collar	5
against the grain	8
against the run of play	6
against the world	7
age before beauty	9
agree to disagree	10
aha moment	8
ahead of one's time	8
ahead of the curve	9
ahead of the game	9
ahead of the pack	8
ain't what it used to was	4
air one's dirty linen in public	6
air out	7
air rage	7
alarums and excursions	2
albatross around one's neck	6
albatross round one's neck	6
alive and kicking	9
all along	9
all and some	3
all and sundry	5
all at once	9
all bark and no bite	9
all bedlam breaks loose	5
all bets are off	8
all dressed up and nowhere to go	9
all duck or no dinner	2
all ears	10
all ends up	4
all eyes	9
all eyes and ears	8
all fur coat and no knickers	7
all good	9
all hat and no cattle	6
all hat and no cowboy	6
all heart	8
all hell breaks loose	9
all holiday	3
all hollow	5
all it's cracked up to be	7
all kidding aside	9
all mouth and no trousers	6
all mouth and trousers	4
all of a heap	2
all one's life's worth	3
all one's taste is in one's mouth	2
all out	8
all over	10
all over bar the shouting	6
all over but the shouting	7
all over hell's half acre	3
all over oneself	6
all over the board	6
all over the map	8
all over the place	9
all over with	8
all points of the compass	5
all rights reserved	9
all roads lead to Rome	8
all set	9
all sixes and nines	4
all sizzle and no steak	6
all talk and no cider	4
all that	10
all that jazz	9
all the marbles	7
all the rage	8
all the same	9
all the tea in China	8
all the way to Egery and back	2
all the while	8
all there	7
all things considered	9
all things to all people	7
all thumbs	8
all to smash	4
all told	7
all very well	6
all wet	6
all-a-mort	1
all-weather friend	5
almighty dollar	8
along about	6
amateur hour	8
amber gambler	2
amber light	7
amber nectar	5
American Dream	10
an arm and a leg	9
an eye for an eye, a tooth for a tooth	10
an ounce of prevention is better than a pound of cure	10
